ensembl_id	query_gene	species	eurbpdb_rbd	accession	gene_name_uniprot	length	pfam_ids	reviewed
ensembl_id	query_gene	species	eurbpdb_rbd	accession	gene_name_uniprot	length	pfam_ids	reviewed
ENSG00000001497	LAS1L	Homo_sapiens		Q9Y4W2	LAS1L	734	PF04031:Las1	reviewed
ENSG00000002834	LASP1	Homo_sapiens		Q14847	LASP1	261	PF00412:LIM;PF00880:Nebulin;PF14604:SH3_9	reviewed
ENSG00000003756	RBM5	Homo_sapiens		P52756	RBM5	815	PF01585:G-patch;PF17780:OCRE;PF00076:RRM_1;PF00641:Zn_ribbon_RanBP	reviewed
ENSG00000004059	ARF5	Homo_sapiens		P84085	ARF5	180	PF00025:Arf	reviewed
ENSG00000004478	FKBP4	Homo_sapiens		Q02790	FKBP4	459	PF00254:FKBP_C;PF00515:TPR_1;PF07719:TPR_2	reviewed
ENSG00000004534	RBM6	Homo_sapiens		P78332	RBM6	1123	PF01585:G-patch;PF17780:OCRE	reviewed
ENSG00000004700	RECQL	Homo_sapiens		P46063	RECQL	649	PF00270:DEAD;PF00271:Helicase_C;PF16124:RecQ_Zn_bind	reviewed
ENSG00000005007	UPF1	Homo_sapiens		Q92900	UPF1	1129	PF13086:AAA_11;PF13087:AAA_12;PF04851:ResIII;PF18141:UPF1_1B_dom;PF09416:UPF1_Zn_bind	reviewed
ENSG00000005022	SLC25A5	Homo_sapiens		P05141	SLC25A5	298	PF00153:Mito_carr	reviewed
ENSG00000005075	POLR2J	Homo_sapiens		P52435	POLR2J	117	PF13656:RNA_pol_L_2	reviewed
ENSG00000005100	DHX33	Homo_sapiens		Q9H6R0	DHX33	707	PF00270:DEAD;PF21010:HA2_C;PF00271:Helicase_C;PF07717:OB_NTP_bind;PF04408:WHD_HA2	reviewed
ENSG00000005156	LIG3	Homo_sapiens		P49916	LIG3	1009	PF04679:DNA_ligase_A_C;PF01068:DNA_ligase_A_M;PF04675:DNA_ligase_A_N;PF16759:LIG3_BRCT;PF00645:zf-PARP	reviewed
ENSG00000005189	REXO5	Homo_sapiens		Q96IC2	REXO5	774	PF00929:RNase_T;PF00076:RRM_1	reviewed
ENSG00000005206	SPPL2B	Homo_sapiens		Q8TCT7	SPPL2B	592	PF02225:PA;PF04258:Peptidase_A22B	reviewed
ENSG00000005302	MSL3	Homo_sapiens		Q8N5Y2	MSL3	521	PF05712:MRG;PF22732:MSL3_chromo-like	reviewed
ENSG00000005339	CREBBP	Homo_sapiens		Q92793	CREBBP	2442	PF00439:Bromodomain;PF09030:Creb_binding;PF08214:HAT_KAT11;PF02172:KIX;PF23570:PHD_P300;PF06001:RING_CBP-p300;PF02135:zf-TAZ;PF00569:ZZ	reviewed
ENSG00000005700	IBTK	Homo_sapiens		Q9P2D0	IBTK	1353	PF12796:Ank_2;PF00651:BTB;PF00415:RCC1	reviewed
ENSG00000005810	MYCBP2	Homo_sapiens		O75592	MYCBP2	4678	PF03256:ANAPC10;PF08005:PHR;PF00415:RCC1;PF13540:RCC1_2	reviewed
ENSG00000006047	YBX2	Homo_sapiens		Q9Y2T7	YBX2	364	PF00313:CSD	reviewed
ENSG00000006125	AP2B1	Homo_sapiens		P63010	AP2B1	937	PF01602:Adaptin_N;PF02883:Alpha_adaptinC2;PF09066:B2-adapt-app_C	reviewed
ENSG00000006625	GGCT	Homo_sapiens		O75223	GGCT	188	PF13772:AIG2_2	reviewed
ENSG00000006712	PAF1	Homo_sapiens		Q8N7H5	PAF1	531	PF03985:Paf1	reviewed
ENSG00000006744	ELAC2	Homo_sapiens		Q9BQ52	ELAC2	826	PF23023:Anti-Pycsar_Apyc1;PF13691:Lactamase_B_4	reviewed
ENSG00000007080	CCDC124	Homo_sapiens		Q96CT7	CCDC124	223	PF06244:Ccdc124	reviewed
ENSG00000007376	RPUSD1	Homo_sapiens		Q9UJJ7	RPUSD1	312	PF00849:PseudoU_synth_2	reviewed
ENSG00000007392	LUC7L	Homo_sapiens		Q9NQ29	LUC7L	371	PF03194:LUC7	reviewed
ENSG00000007520	TSR3	Homo_sapiens		Q9UJK0	TSR3	312	PF04068:Fer4_RLI;PF04034:Ribo_biogen_C	reviewed
ENSG00000008294	SPAG9	Homo_sapiens		O60271	SPAG9	1321	PF16471:JIP_LZII;PF09744:RH1;PF19056:WD40_2	reviewed
ENSG00000008869	HEATR5B	Homo_sapiens		Q9P2D3	HEATR5B	2071	PF25468:HEAT_HEATR5A;PF20210:Laa1_Sip1_HTR5	reviewed
ENSG00000008952	SEC62	Homo_sapiens		Q99442	SEC62	399	PF03839:Sec62	reviewed
ENSG00000008988	RPS20	Homo_sapiens		P60866	RPS20	119	PF00338:Ribosomal_S10	reviewed
ENSG00000009307	CSDE1	Homo_sapiens		O75534	CSDE1	798	PF00313:CSD;PF23456:CSDE1;PF12901:SUZ-C	reviewed
ENSG00000009954	BAZ1B	Homo_sapiens		Q9UIG0	BAZ1B	1483	PF00439:Bromodomain;PF00628:PHD;PF10537:WAC_Acf1_DNA_bd;PF15612:WHIM1;PF15613:WSD	reviewed
